time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-08T08:07:12.940Z,36.588665,-121.1846695,4.05,2.96,md,34,66,0.01694,0.11,nc,nc73479336,2020-11-09T08:33:25.950Z,"7km NNW of Pinnacles, CA",earthquake,0.24,0.64,0.15,47,automatic,nc,nc
2020-11-08T07:05:04.530Z,35.7443352,-121.1651688,-0.23,2.7,md,31,180,0.1548,0.21,nc,nc73479271,2020-11-08T13:09:16.387Z,"11km N of San Simeon, CA",earthquake,0.69,4.59,0.14,29,automatic,nc,nc
2020-11-07T19:52:57.330Z,38.8341675,-122.8054962,2.31,2.56,md,47,32,0.01134,0.06,nc,nc73479071,2020-11-07T20:24:03.833Z,"7km W of Cobb, CA",earthquake,0.15,0.26,0.13,28,automatic,nc,nc
2020-11-07T19:52:51.580Z,38.8333321,-122.8065033,2.31,2.75,md,22,50,0.01031,0.02,nc,nc73479086,2020-11-07T21:33:06.237Z,"7km W of Cobb, CA",earthquake,0.21,0.47,0.11,4,automatic,nc,nc
2020-11-07T05:39:50.900Z,40.3293343,-122.0883331,10.07,2.69,md,21,96,0.124,0.14,nc,nc73478891,2020-11-07T06:06:05.463Z,"21km NE of Red Bluff, CA",earthquake,0.36,1.3,0.12,25,automatic,nc,nc
2020-11-06T20:27:37.040Z,32.967,-115.9423333,10.84,2.58,ml,71,28,0.08309,0.23,ci,ci39459383,2020-11-07T05:28:46.518Z,"26km N of Ocotillo, CA",earthquake,0.16,0.49,0.161,94,reviewed,ci,ci
2020-11-06T14:19:30.737Z,38.1663,-117.895,8.8,2.6,ml,24,56.3,0.019,0.1088,nn,nn00782112,2020-11-07T07:54:14.040Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.35,12,reviewed,nn,nn
2020-11-06T08:37:00.249Z,38.1639,-117.827,7.1,2.5,ml,24,55.46,0.035,0.1228,nn,nn00782062,2020-11-06T18:29:09.971Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.34,11,reviewed,nn,nn
2020-11-05T18:14:30.970Z,35.7338333,-117.7263333,6.77,2.7,ml,57,37,0.04583,0.14,ci,ci39458103,2020-11-06T01:07:16.040Z,"12km NE of Inyokern, CA",earthquake,0.1,0.26,0.191,26,reviewed,ci,ci
2020-11-05T16:11:34.540Z,35.6376667,-117.4506667,7.97,2.57,ml,41,67,0.05191,0.14,ci,ci39457871,2020-11-06T19:44:03.620Z,"15km SSW of Searles Valley, CA",earthquake,0.16,0.55,0.147,141,reviewed,ci,ci
2020-11-05T11:53:44.760Z,36.0291667,-117.7773333,1.61,2.61,ml,43,26,0.01055,0.16,ci,ci39457519,2020-11-05T17:53:38.391Z,"16km E of Coso Junction, CA",earthquake,0.14,0.16,0.19,23,reviewed,ci,ci
2020-11-05T10:25:07.180Z,39.366333,-123.2456665,6.26,2.83,md,22,92,0.07195,0.06,nc,nc73478121,2020-11-05T13:38:53.040Z,"11km ESE of Willits, CA",earthquake,0.28,0.73,0.12,25,automatic,nc,nc
2020-11-05T01:02:06.503Z,38.0681,-118.2662,7.5,2.5,ml,32,78.17,0.192,0.1684,nn,nn00781864,2020-11-05T17:10:20.046Z,"33 km NE of Benton, California",earthquake,,4,0.34,18,reviewed,nn,nn
2020-11-05T00:35:48.010Z,34.9791667,-119.0285,11.44,2.7,ml,64,27,0.09133,0.23,ci,ci39457071,2020-11-05T14:30:31.896Z,"10km WNW of Grapevine, CA",earthquake,0.2,0.57,0.193,26,reviewed,ci,ci
2020-11-04T07:19:49.980Z,35.5159988,-121.5103302,2.41,2.72,md,42,211,0.3498,0.26,nc,nc73477746,2020-11-07T13:46:02.145Z,"32km WSW of San Simeon, CA",earthquake,1.05,2.93,0.15,36,automatic,nc,nc
2020-11-04T02:47:30.594Z,38.1721,-117.8911,9.5,2.6,ml,33,40.68,0.019,0.1518,nn,nn00781738,2020-11-05T02:26:19.920Z,"30 km SE of Mina, Nevada",earthquake,,0.5,0.3,18,reviewed,nn,nn
2020-11-04T00:20:24.770Z,37.6391667,-119.3898333,11.81,3.4,ml,36,72,0.2466,0.06,nc,nc73477631,2020-11-11T14:43:26.958Z,"20km SE of Yosemite Valley, CA",earthquake,0.31,1.2,0.166,90,reviewed,nc,nc
2020-11-03T17:41:19.160Z,39.367,-123.2448333,7,3.34,mw,50,54,0.07219,0.09,nc,nc73477526,2020-11-11T14:43:47.756Z,"11km ESE of Willits, CA",earthquake,0.13,0.31,,3,reviewed,nc,nc
2020-11-02T22:22:14.470Z,39.3638333,-123.2433333,7.08,2.89,ml,48,54,0.06887,0.06,nc,nc73477356,2020-11-06T04:03:11.040Z,"11km ESE of Willits, CA",earthquake,0.13,0.31,0.222,24,reviewed,nc,nc
2020-11-02T16:26:29.780Z,34.8598333,-116.3381667,5.31,2.64,ml,37,42,0.03047,0.14,ci,ci39454303,2020-11-09T15:33:28.040Z,"22km NW of Ludlow, CA",earthquake,0.15,0.39,0.165,26,reviewed,ci,ci
2020-11-02T02:20:34.280Z,36.0271667,-120.5875,4.48,2.83,md,53,122,0.04214,0.06,nc,nc73477136,2020-11-10T23:24:03.973Z,"20km NW of Parkfield, CA",earthquake,0.16,0.19,0.169,68,reviewed,nc,nc
2020-10-31T20:57:23.850Z,35.339,-118.5076667,3.64,3.02,ml,80,36,0.1832,0.18,ci,ci39452551,2020-11-11T04:53:27.040Z,"24km NNW of Tehachapi, CA",earthquake,0.13,0.74,0.191,260,reviewed,ci,ci
2020-10-31T19:49:37.810Z,34.1128333,-116.6948333,2.44,2.88,ml,137,15,0.08372,0.15,ci,ci39452471,2020-11-11T04:49:27.040Z,"13km NW of Morongo Valley, CA",earthquake,0.07,0.24,0.148,55,reviewed,ci,ci
2020-10-31T14:41:09.785Z,38.1572,-117.937,10.5,3.1,ml,22,32.44,0.025,0.1394,nn,nn00781237,2020-11-01T03:43:21.266Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.28,18,reviewed,nn,nn
2020-10-30T08:52:01.130Z,35.8695,-121.4576667,8.57,2.56,md,72,179,0.2355,0.11,nc,nc73476376,2020-11-09T21:18:05.252Z,"19km SSE of Lopez Point, CA",earthquake,0.24,0.43,0.195,68,reviewed,nc,nc
2020-10-30T08:02:46.090Z,37.638,-119.3846667,6.44,2.61,md,12,146,0.2425,0.09,nc,nc73476341,2020-10-31T06:57:57.425Z,"20km SE of Yosemite Valley, CA",earthquake,0.57,2.64,0.251,18,reviewed,nc,nc
2020-10-30T08:02:03.830Z,37.6336667,-119.396,8.39,3.1,md,44,60,0.2514,0.17,nc,nc73476346,2020-10-31T07:07:14.169Z,"20km SE of Yosemite Valley, CA",earthquake,0.35,1.66,0.174,48,reviewed,nc,nc
2020-10-29T06:45:43.310Z,35.5918333,-117.5996667,4.4,2.58,ml,43,35,0.06039,0.14,ci,ci39448471,2020-10-31T00:44:01.165Z,"8km ESE of Ridgecrest, CA",earthquake,0.13,0.32,0.158,94,reviewed,ci,ci
2020-10-29T00:36:23.070Z,32.8331667,-115.9453333,11.23,2.6,ml,68,40,0.05714,0.27,ci,ci39448263,2020-11-07T06:35:10.040Z,"12km NNE of Ocotillo, CA",earthquake,0.21,0.44,0.168,84,reviewed,ci,ci
2020-10-28T18:14:30.080Z,33.5041667,-116.46,5.72,2.61,ml,118,28,0.07967,0.19,ci,ci39447775,2020-11-10T17:14:06.040Z,"21km ESE of Anza, CA",earthquake,0.09,0.36,0.149,28,reviewed,ci,ci
2020-10-27T23:18:51.850Z,36.4528333,-117.9613333,7.04,2.82,ml,47,67,0.09668,0.15,ci,ci39446927,2020-10-29T02:46:47.040Z,"18km SSE of Lone Pine, CA",earthquake,0.14,0.41,0.169,23,reviewed,ci,ci
2020-10-27T19:22:43.900Z,36.6015,-121.0576667,12.69,3.29,mw,80,62,0.0272,0.16,nc,nc73475701,2020-11-08T08:13:02.190Z,"11km NE of Pinnacles, CA",earthquake,0.18,0.32,,4,reviewed,nc,nc
2020-10-27T05:45:59.765Z,38.1833,-117.8677,9.9,3.1,ml,32,40.02,0.022,0.1389,nn,nn00780537,2020-10-27T08:03:06.040Z,"31 km SE of Mina, Nevada",earthquake,,0.6,0.31,16,reviewed,nn,nn
2020-10-27T01:26:16.840Z,34.8598333,-116.339,5.11,3.3,ml,65,42,0.03054,0.16,ci,ci39445839,2020-10-30T07:56:17.444Z,"22km NW of Ludlow, CA",earthquake,0.1,0.31,0.15,286,reviewed,ci,ci
2020-10-26T17:04:57.041Z,38.1112,-118.1524,1.8,2.6,ml,27,73.19,0.093,0.1706,nn,nn00780454,2020-10-26T21:01:00.040Z,"31 km S of Mina, Nevada",earthquake,,0.8,0.44,14,reviewed,nn,nn
2020-10-26T13:38:36.600Z,38.5575,-122.306,9.35,3.46,mw,125,101,0.04457,0.15,nc,nc73475311,2020-11-08T08:13:14.788Z,"13km E of Angwin, CA",earthquake,0.18,0.28,,3,reviewed,nc,nc
2020-10-26T10:41:32.598Z,38.1566,-117.8779,8.3,2.7,ml,33,41.14,0.005,0.1402,nn,nn00780428,2020-10-27T09:36:02.040Z,"32 km SE of Mina, Nevada",earthquake,,0.5,0.18,19,reviewed,nn,nn
2020-10-26T07:24:21.030Z,34.8645,-116.3396667,5.08,2.63,ml,42,71,0.03523,0.13,ci,ci39445087,2020-10-26T20:43:42.654Z,"23km NW of Ludlow, CA",earthquake,0.12,0.34,0.109,23,reviewed,ci,ci
2020-10-25T13:13:43.755Z,38.1567,-117.9507,9.8,2.7,ml,32,31.83,0.019,0.1407,nn,nn00780365,2020-11-01T15:30:55.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.22,17,reviewed,nn,nn
2020-10-25T12:55:53.270Z,32.9216667,-117.6743333,17.85,2.58,ml,57,148,0.3713,0.2,ci,ci39444559,2020-11-12T12:21:46.040Z,"38km WSW of Encinitas, CA",earthquake,0.42,0.94,0.131,161,reviewed,ci,ci
2020-10-25T00:32:20.620Z,35.6216667,-117.5735,8.59,2.71,ml,41,53,0.077,0.12,ci,ci39444167,2020-11-06T03:01:20.040Z,"9km E of Ridgecrest, CA",earthquake,0.12,0.34,0.135,68,reviewed,ci,ci
2020-10-24T23:06:50.570Z,36.0358333,-120.5983333,4.42,2.51,md,60,113,0.03295,0.07,nc,nc73474766,2020-11-06T02:22:24.040Z,"21km NW of Parkfield, CA",earthquake,0.16,0.23,0.154,61,reviewed,nc,nc
2020-10-24T22:44:02.333Z,38.1671,-118.0696,5.8,2.9,ml,31,68.51,0.016,0.1068,nn,nn00780270,2020-11-01T03:30:57.040Z,"25 km S of Mina, Nevada",earthquake,,0.8,0.38,16,reviewed,nn,nn
2020-10-24T12:27:35.140Z,33.9045,-117.6201667,3.66,2.56,ml,181,22,0.01958,0.22,ci,ci39443703,2020-10-27T17:11:18.250Z,"6km NW of Corona, CA",earthquake,0.09,0.27,0.216,36,reviewed,ci,ci
2020-10-24T10:17:55.840Z,38.7685,-122.6953333,2.46,2.8,md,89,40,0.003102,0.08,nc,nc73474556,2020-10-31T02:47:05.661Z,"1km SSW of Anderson Springs, CA",earthquake,0.12,0.17,0.185,105,reviewed,nc,nc
2020-10-24T06:53:39.950Z,39.366,-123.2425,7.53,2.51,md,43,54,0.07041,0.08,nc,nc73474511,2020-11-12T06:43:07.040Z,"11km ESE of Willits, CA",earthquake,0.15,0.29,0.174,45,reviewed,nc,nc
2020-10-24T06:13:38.684Z,38.1827,-117.7672,9,2.8,ml,34,59.26,0.048,0.1661,nn,nn00780182,2020-11-12T06:34:31.040Z,"37 km SE of Mina, Nevada",earthquake,,0.9,0.37,18,reviewed,nn,nn
2020-10-23T06:32:09.970Z,33.1881667,-115.5825,3.94,2.91,ml,99,37,0.02977,0.25,ci,ci39442679,2020-11-05T05:50:06.040Z,"8km SW of Niland, CA",earthquake,0.14,0.26,0.127,23,reviewed,ci,ci
2020-10-23T06:11:36.805Z,41.1539,-117.4077,0,2.7,ml,6,134.68,0.736,0.205,nn,nn00780060,2020-11-05T05:34:36.040Z,"23 km NNE of Golconda, Nevada",earthquake,,12.7,0.33,5,reviewed,nn,nn
2020-10-22T23:03:03.220Z,34.8608333,-116.34,5.1,2.96,ml,25,70,0.03163,0.15,ci,ci39442343,2020-10-23T15:21:19.610Z,"23km NW of Ludlow, CA",earthquake,0.17,0.44,0.158,121,reviewed,ci,ci
2020-10-22T21:22:03.390Z,33.1981667,-115.5796667,2.65,2.83,ml,53,46,0.03655,0.24,ci,ci39442191,2020-10-23T00:16:16.040Z,"7km SW of Niland, CA",earthquake,0.19,0.29,0.172,126,reviewed,ci,ci
2020-10-22T21:07:39.830Z,33.201,-115.5806667,3.44,2.5,ml,23,49,0.0394,0.17,ci,ci39442143,2020-10-23T00:13:24.110Z,"7km SW of Niland, CA",earthquake,0.29,0.43,0.132,27,reviewed,ci,ci
2020-10-22T21:02:16.190Z,33.2065,-115.59,2.18,2.73,ml,39,38,0.0359,0.19,ci,ci39442119,2020-10-23T06:03:02.490Z,"8km WSW of Niland, CA",earthquake,0.2,0.29,0.234,17,reviewed,ci,ci
2020-10-22T21:01:40.640Z,33.202,-115.5858333,2.25,2.74,ml,37,45,0.03497,0.23,ci,ci39442127,2020-10-22T22:25:03.279Z,"8km SW of Niland, CA",earthquake,0.26,0.38,0.152,23,reviewed,ci,ci
2020-10-22T20:59:26.460Z,33.2,-115.5845,3.03,3.91,mw,101,37,0.03445,0.26,ci,ci39442103,2020-11-09T22:11:24.574Z,"8km SW of Niland, CA",earthquake,0.14,0.24,,6,reviewed,ci,ci
2020-10-22T20:45:28.390Z,33.192,-115.58,3.21,2.52,ml,42,45,0.03321,0.21,ci,ci39442031,2020-11-02T20:12:07.040Z,"8km SW of Niland, CA",earthquake,0.2,0.27,0.15,61,reviewed,ci,ci
2020-10-22T18:17:59.510Z,34.8608333,-116.3418333,5.26,2.58,ml,37,42,0.03186,0.13,ci,ci39441879,2020-11-02T17:28:43.040Z,"23km NW of Ludlow, CA",earthquake,0.14,0.37,0.206,26,reviewed,ci,ci
2020-10-22T18:08:58.300Z,37.4058333,-118.5201667,7.32,2.67,ml,30,68,0.06279,0.07,nc,nc73474001,2020-11-02T16:51:44.040Z,"7km E of Round Valley, CA",earthquake,0.37,0.87,0.199,15,reviewed,nc,nc
2020-10-22T12:53:30.280Z,39.3661667,-123.2475,7.43,2.84,md,49,59,0.07256,0.08,nc,nc73473896,2020-10-29T10:35:23.040Z,"10km ESE of Willits, CA",earthquake,0.14,0.3,0.254,51,reviewed,nc,nc
2020-10-22T09:19:35.090Z,34.863,-116.3423333,5.24,3.3,ml,29,70,0.03406,0.15,ci,ci39441199,2020-10-22T16:02:03.726Z,"23km NW of Ludlow, CA",earthquake,0.16,0.46,0.176,167,reviewed,ci,ci
2020-10-22T06:49:24.376Z,38.1468,-117.8866,9.8,2.7,ml,31,50.49,0.016,0.1161,nn,nn00779913,2020-10-22T16:06:05.679Z,"33 km SE of Mina, Nevada",earthquake,,0.5,0.32,17,reviewed,nn,nn
2020-10-22T06:10:15.050Z,35.5008333,-118.4028333,2.94,3.27,ml,56,31,0.1717,0.19,ci,ci39441087,2020-11-06T00:54:42.344Z,"13km SE of Bodfish, CA",earthquake,0.16,0.75,0.151,170,reviewed,ci,ci
2020-10-20T11:51:55.636Z,38.1929,-117.7476,9.7,3.3,ml,32,69.35,0.035,0.1742,nn,nn00779626,2020-10-21T02:28:00.037Z,"38 km SE of Mina, Nevada",earthquake,,0.7,0.37,18,reviewed,nn,nn
2020-10-20T10:30:46.070Z,33.0053333,-116.2895,7.14,3.44,ml,115,38,0.05192,0.2,ci,ci39669176,2020-10-29T23:56:22.170Z,"21km SW of Ocotillo Wells, CA",earthquake,0.11,0.44,0.142,186,reviewed,ci,ci
2020-10-20T04:01:06.180Z,39.3663333,-123.2435,7.63,2.74,md,46,54,0.07109,0.09,nc,nc73472956,2020-11-11T01:13:30.040Z,"11km ESE of Willits, CA",earthquake,0.14,0.31,0.221,57,reviewed,nc,nc
2020-10-20T01:59:46.410Z,39.3638333,-123.2518333,7.02,3.43,mw,53,87,0.0725,0.09,nc,nc73472891,2020-11-03T00:37:14.906Z,"10km ESE of Willits, CA",earthquake,0.12,0.3,,3,reviewed,nc,nc
2020-10-20T01:58:50.210Z,39.3658333,-123.2443333,7.5,3.79,mw,55,35,0.07099,0.09,nc,nc73472896,2020-11-03T00:37:04.010Z,"11km ESE of Willits, CA",earthquake,0.13,0.3,,4,reviewed,nc,nc
2020-10-19T21:47:47.484Z,34.863,-116.3222,5,2.5,ml,,40,0.228,0.48,us,us6000c9lh,2020-10-27T22:58:11.132Z,"49 km SSW of Baker, California",earthquake,1.3,1.9,0.051,50,reviewed,us,us
2020-10-19T17:21:37.810Z,34.8663333,-116.3368333,5.06,3.11,ml,67,28,0.03688,0.25,ci,ci39668384,2020-10-20T17:06:36.040Z,"23km NW of Ludlow, CA",earthquake,0.16,31.61,0.165,239,reviewed,ci,ci
2020-10-19T11:44:49.773Z,38.1495,-117.9942,7.8,3.1,ml,31,42.5,0.029,0.1264,nn,nn00779417,2020-10-23T15:01:53.040Z,"28 km SSE of Mina, Nevada",earthquake,,0.6,0.32,16,reviewed,nn,nn
2020-10-19T10:14:39.210Z,38.6066666,-122.0343323,9.47,2.59,md,30,63,0.1447,0.35,nc,nc73472606,2020-10-20T05:07:01.698Z,"10km S of Esparto, CA",earthquake,0.56,1.27,0.22,23,automatic,nc,nc
2020-10-19T10:00:43.760Z,38.6110001,-122.0333328,10.56,2.87,ml,40,48,0.1459,0.37,nc,nc73472601,2020-10-22T02:42:21.483Z,"9km S of Esparto, CA",earthquake,0.53,0.85,0.214,12,automatic,nc,nc
2020-10-19T09:45:33.550Z,35.9733333,-117.3943333,2.61,2.64,ml,49,38,0.1141,0.14,ci,ci39667864,2020-10-20T07:24:23.040Z,"23km N of Searles Valley, CA",earthquake,0.12,0.35,0.149,143,reviewed,ci,ci
2020-10-19T08:43:41.479Z,38.1515,-117.9632,10.5,2.5,ml,33,47.58,0.013,0.1463,nn,nn00779473,2020-10-23T14:45:56.040Z,"29 km SSE of Mina, Nevada",earthquake,,0.5,0.34,18,reviewed,nn,nn
2020-10-19T03:34:43.950Z,34.8621667,-116.3395,4.84,3.47,mw,87,38,0.0329,0.15,ci,ci39667688,2020-10-26T01:33:51.489Z,"23km NW of Ludlow, CA",earthquake,0.08,0.22,,6,reviewed,ci,ci
2020-10-19T02:34:19.710Z,37.574,-118.4615,7.37,2.62,md,31,64,0.02965,0.05,nc,nc73472461,2020-10-23T04:08:04.040Z,"19km E of Toms Place, CA",earthquake,0.36,0.82,0.132,26,reviewed,nc,nc
2020-10-18T07:01:57.140Z,40.3536667,-124.2145,28.38,3.25,ml,29,86,0.06204,0.14,nc,nc73472226,2020-10-28T21:44:04.583Z,"7km ENE of Petrolia, CA",earthquake,0.43,0.67,0.234,22,reviewed,nc,nc
2020-10-17T13:25:55.631Z,38.1491,-117.9448,12,2.5,ml,25,37.42,0.016,0.1338,nn,nn00779125,2020-10-17T17:36:12.832Z,"30 km SSE of Mina, Nevada",earthquake,,0.6,0.11,13,reviewed,nn,nn
2020-10-17T11:15:45.170Z,36.6446667,-121.2636667,6.52,2.51,md,49,67,0.05311,0.07,nc,nc73471866,2020-10-27T16:55:07.311Z,"16km NW of Pinnacles, CA",earthquake,0.16,0.55,0.233,59,reviewed,nc,nc
2020-10-17T09:58:34.030Z,35.6135,-120.3743333,5.7,2.98,md,57,29,0.0726,0.1,nc,nc73471826,2020-11-06T14:02:00.040Z,"5km S of Shandon, CA",earthquake,0.15,0.4,0.136,89,reviewed,nc,nc
2020-10-16T06:35:22.231Z,39.197,-119.5979,7.7,2.7,ml,35,66.24,0.103,0.1583,nn,nn00778922,2020-10-29T07:10:47.040Z,"4 km S of Dayton, Nevada",earthquake,,0.9,0.42,14,reviewed,nn,nn
2020-10-15T15:17:03.670Z,36.977,-121.6345,3.75,2.52,md,66,38,0.04727,0.13,nc,nc73471131,2020-10-23T21:36:05.873Z,"7km WSW of Gilroy, CA",earthquake,0.16,0.34,0.232,70,reviewed,nc,nc
2020-10-15T00:25:55.480Z,40.9405,-124.0898333,27.98,2.65,md,31,167,0.1312,0.09,nc,nc73470916,2020-10-24T02:32:38.040Z,"1km SE of McKinleyville, CA",earthquake,0.39,0.72,0.153,33,reviewed,nc,nc
2020-10-15T00:24:00.869Z,38.1622,-117.8757,8,2.7,ml,27,49.77,0.004,0.1382,nn,nn00778770,2020-10-24T00:41:14.040Z,"32 km SE of Mina, Nevada",earthquake,,0.5,0.21,15,reviewed,nn,nn
2020-10-14T21:43:55.940Z,36.0293333,-121.5366667,8.01,2.98,md,68,175,0.1742,0.12,nc,nc73470861,2020-10-23T22:34:51.040Z,"3km ENE of Lopez Point, CA",earthquake,0.37,0.54,0.22,60,reviewed,nc,nc
2020-10-14T21:42:41.170Z,36.0263333,-121.5443333,8.71,3.47,ml,108,177,0.1738,0.13,nc,nc73470856,2020-10-23T22:32:23.035Z,"2km ENE of Lopez Point, CA",earthquake,0.24,0.36,0.115,93,reviewed,nc,nc
2020-10-14T21:40:06.550Z,36.0271667,-121.5396667,9.44,2.95,md,87,176,0.1749,0.12,nc,nc73470851,2020-10-23T22:16:11.040Z,"3km ENE of Lopez Point, CA",earthquake,0.3,0.46,0.212,90,reviewed,nc,nc
2020-10-14T21:11:50.700Z,35.6688333,-117.5643333,5.84,2.62,ml,43,43,0.08184,0.13,ci,ci39663320,2020-10-23T22:08:09.040Z,"11km ENE of Ridgecrest, CA",earthquake,0.12,0.49,0.204,25,reviewed,ci,ci
